title,phrase
US - Osimertinib - SA4_WarningsPrecautions_Procedures_Surgery,Do I need to hold Tagrisso for surgery?
US - Osimertinib - SA4_WarningsPrecautions_Procedures_Surgery,stop tagrisso for surgery
US - Osimertinib - SA4_WarningsPrecautions_Procedures_Surgery,surgery and tagrisso
US - Olaparib - RE4_PUBLISHEDDATA_DUO-E_SAFETY,DUO-E Safety
US - Olaparib - RE4_PUBLISHEDDATA_DUO-E_SAFETY,Safety of DUO-E
US - Olaparib - RE4_PUBLISHEDDATA_DUO-E_SAFETY,Safety results DUO-E
US - Olaparib - RE4_PUBLISHEDDATA_DUO-E_SAFETY,Safety in DUO-E
US - Durvalumab - RE3_PublishedData_DUO-O,DUO-O
US - Durvalumab - RE3_PublishedData_DUO-O,DUO-O study
US - Durvalumab - RE3_PublishedData_DUO-O,What is the Study deisgn of DUO-O
US - Acalabrutinib - SA4_AEManagement_Heme_Bleeding,acalabrutinib and management of bleeding events
US - Acalabrutinib - SA4_AEManagement_Heme_Bleeding,management of hemorrhage in acalabrutinib trials
US - Acalabrutinib - SA4_AEManagement_Heme_Bleeding,calquence patients and management of bleeding
US - Acalabrutinib - SA4_AEManagement_Heme_Bleeding,Are there any recommendations on the management of bleedingin Calquence
US - Acalabrutinib - SA4_AEManagement_Heme_Bleeding,management of bleeding and calquence
US - Durvalumab - RE4_OngoingStudies_POSEIDON_Safety,Summarizes POSEIDON safety results
US - Durvalumab - RE4_OngoingStudies_POSEIDON_Safety,imfinzi poseidon safety
US - Osimertinib - RE4_PublishedData_ADAURA_Safety,Safety outcomes in ADAURA
US - Osimertinib - RE4_PublishedData_ADAURA_Safety,adverse events/AE/AR in resectable NSCLC/adjuvant setting
US - Osimertinib - RE4_PublishedData_ADAURA_Safety,long-term tolerability ADAURA
US - Osimertinib - RE4_PublishedData_ADAURA_Safety,updated adaura safety results
US - Osimertinib - TE3_PreDrugUse_PlasmaTesting,Tagrisso HRD testing
US - Osimertinib - TE3_PreDrugUse_PlasmaTesting,Should I use plasma or tissue testing?
US - Osimertinib - TE3_PreDrugUse_PlasmaTesting,ctDNA in metastatic NSCLC
US - Osimertinib - TE3_PreDrugUse_PlasmaTesting,plasma testing
US - Osimertinib - TE3_PreDrugUse_PlasmaTesting,Tagrisso tissue testing 
US - Tremelimumab - SA3_AdverseEvents_Immune,IMAE incidence with treme and durva combination
US - Tremelimumab - SA3_AdverseEvents_Immune,What were imAEs in the Himalaya trial
US - Tremelimumab - SA3_AdverseEvents_Immune,What were imAEs in the Poseidon trial
US - Tremelimumab - SA3_AdverseEvents_Immune,imAE incidence with treme or treme+durva
US - Durvalumab - SA1_Safety,What are the side effects of IMFINZI?
US - Durvalumab - SA1_Safety,imfinzi side effect
US - Durvalumab - SA1_Safety,imfinzi adverse event
US - Durvalumab - SA1_Safety,imfinzi ae
US - Durvalumab - SA1_Safety,safety of durva treme metastatic NSCLC
US - Durvalumab - SA1_Safety,safety of durva treme mnsclc
US - Durvalumab - SA1_Safety,safety durva treme mnsclc
US - Durvalumab - SA1_Safety,safety durva treme metastatic nsclc
US - Olaparib - IN3_Reproduction_Pregnancy,Is Lynparza indicated in pregnant patients?
US - Olaparib - IN3_Reproduction_Pregnancy,Lynparza during pregnancy
US - Olaparib - IN3_Reproduction_Pregnancy,Use of Lynparza during pregnancy
US - Olaparib - IN3_Reproduction_Pregnancy,Lynparza and pregnancy
US - Olaparib - IN3_Reproduction_Pregnancy,Is Olaparib indicated in pregnant patients?
US - Olaparib - IN3_Reproduction_Pregnancy,Olaparib during pregnancy
US - Olaparib - IN3_Reproduction_Pregnancy,Use of Olaparib during pregnancy
US - Olaparib - IN3_Reproduction_Pregnancy,Olaparib and pregnancy
US - Durvalumab - DO2_Variations,Dosage modifications for Imfinzi® (durvalumab) due to adverse reactions
US - Durvalumab - DO2_Variations,imfinzi dose modifications
US - Durvalumab - DO2_Variations,imfinzi dose mod
US - Durvalumab - DO2_Variations,dose modification for durvalumab in case of adverse events
US - Olaparib - AD3_Route_PEGTube,Can Lynparza tablets be made into a suspension for patients who have difficulty swallowing?
US - Olaparib - AD3_Route_PEGTube,Can Lynparza tablets be split?
US - Olaparib - AD3_Route_PEGTube,Oral suspension lynparza
US - Olaparib - AD3_Route_PEGTube,Oral solution lynparza
US - Olaparib - AD3_Route_PEGTube,Can Lynparza tablets be administered via feeding tube?
US - Olaparib - AD3_Route_PEGTube,Can Lynparza tablets be administered via PEG tube?
US - Olaparib - AD3_Route_PEGTube,Lynparza/olaparib PEG tube feeding
US - Olaparib - AD3_Route_PEGTube,Lynparza/olaparib J-tube feeding
US - Olaparib - AD3_Route_PEGTube,Crushing Lynparza/olaparb tablets
US - Olaparib - AD3_Route_PEGTube,Dissolving Lynparza/olaparib tablets
US - Olaparib - AD3_Route_PEGTube,Splitting Lynparza/olaparib tablets
US - Olaparib - AD3_Route_PEGTube,Crushing Lynparza/olaparib
US - Olaparib - AD3_Route_PEGTube,Splitting Lynparza/olaparib
US - Olaparib - AD3_Route_PEGTube,Dissolving Lynparza/olaparib
US - Olaparib - AD3_Route_PEGTube,Lynparza difficulty swallowing
US - Olaparib - AD3_Route_PEGTube,Lynparza in patients difficulty swallowing
US - Olaparib - AD3_Route_PEGTube,Lynparza adminstration in patients with difficulty swallowing
US - Olaparib - AD3_Route_PEGTube,NG-tube feeding Lynparza
US - Olaparib - AD3_Route_PEGTube,G-tube feeding Lynparza
US - Olaparib - RE3_PublishedData_MEDIOLA,Tell me about the MEDIOLA study
US - Olaparib - RE3_PublishedData_MEDIOLA,MEDIOLA
US - Olaparib - RE3_PublishedData_MEDIOLA,MEDIOLA study
US - Olaparib - RE3_PublishedData_MEDIOLA,Durvalumab and olaparib in ovarian cancer
US - Olaparib - RE3_PublishedData_MEDIOLA,Imfinzi and Lynparza in ovarian cancer
US - Olaparib - RE3_PublishedData_MEDIOLA,MEDIOLA study results
US - Olaparib - RE3_PublishedData_MEDIOLA,MEDIOLA results
US - Olaparib - RE3_PublishedData_MEDIOLA,Olaparib and durvalumab
US - Olaparib - RE3_PublishedData_MEDIOLA,Imfinzi and Lynparza
US - Olaparib - RE3_PublishedData_MEDIOLA,Lynparza and Imfinzi
US - Olaparib - RE3_PublishedData_MEDIOLA,Durvalumab and olaparib
US - Olaparib - RE3_PublishedData_MEDIOLA,Olaparib and durvalumab in ovarian cancer
US - Olaparib - RE3_PublishedData_MEDIOLA,Durvalumab and olaparib in ovarian cancer
US - Durvalumab - RE3_OngoingStudies_PAC5,Details on study design of PACIFIC 5
US - Durvalumab - RE3_OngoingStudies_PAC5, What were the results of the PAC5 study
US - Durvalumab - RE3_OngoingStudies_PAC5,imfinzi pac5
US - Durvalumab - RE3_OngoingStudies_PAC5,imfinzi pacific 5
US - Durvalumab - IN3_Immune_Autoimmune,Can you use Imfinzi® (durvalumab) in a patient with autoimmune disease?
US - Durvalumab - IN3_Immune_Autoimmune,imfinzi autoimmune
US - Capivasertib - CAPITELLO-291,What are the results for Capitello-291? 
US - Capivasertib - CAPITELLO-291,Capitello-291 trial design
US - Capivasertib - CAPITELLO-291,Capitello-291 results
US - Capivasertib - CAPITELLO-291,Capitello-291 study overview 
US - Osimertinib - CheckpointInhibitor_After,Can I use a checkpoint inhibitor after Osimertinib?
US - Osimertinib - CheckpointInhibitor_After,Can I use a checkpoint inhibitor after Tagrisso?
US - Osimertinib - CheckpointInhibitor_After,ICI/CPI as subsequent treatment; nivolumab/pembrolizumab/atezolimumab after progression on Tagrisso
US - Osimertinib - CheckpointInhibitor_After,ICI/CPI as subsequent treatment; nivolumab/pembrolizumab/atezolimumab after progression on osimertinib
US - Osimertinib - CheckpointInhibitor_After,IO after osimertinib
US - Osimertinib - CheckpointInhibitor_After,IO after Tagrisso
US - Acalabrutinib - IN3_Heme_WM,Acalabrutinib in Waldenström Macroglobulinemia (WM)
US - Acalabrutinib - IN3_Heme_WM,Calquence in WM
US - Acalabrutinib - IN3_Heme_WM,acalabrutinib in ACE-WM-001
US - Acalabrutinib - IN3_Heme_WM,Do you have information on the use of acalabrutinib in patients with Waldenström Macroglobulinemia (WM)?
US - Durvalumab - AV1_Availability,How do you order IMFINZI?
US - Olaparib - RE3_PUBLISHEDDATA_DUO-E,DUO-E study
US - Olaparib - RE3_PUBLISHEDDATA_DUO-E,DUO-E efficacy
US - Olaparib - RE3_PUBLISHEDDATA_DUO-E,Efficacy of DUO-E
US - Olaparib - RE3_PUBLISHEDDATA_DUO-E,Efficacy results DUO-E
US - Olaparib - RE3_PUBLISHEDDATA_DUO-E,Efficacy in DUO-E
US - Olaparib - RE3_PUBLISHEDDATA_DUO-E,Olaparib DUO-E study
US - Olaparib - RE3_PUBLISHEDDATA_DUO-E,Lynparza DUO-E study
US - Olaparib - RE3_PUBLISHEDDATA_DUO-E,Durvalumab DUO-E study
US - Olaparib - RE3_PUBLISHEDDATA_DUO-E,Imfinzi DUO-E study
US - Capivasertib - MECHANISM OF ACTION,What is the MOA of capivasertib?
US - Capivasertib - MECHANISM OF ACTION,MOA of capivasertib
US - Capivasertib - MECHANISM OF ACTION,mechanism of action of capivasertib
US - Capivasertib - MECHANISM OF ACTION,how does capivasertib work
US - Durvalumab - DE3_Structure_SpecificGravity,What is the specific gravity of Imfinzi® (durvalumab)?
US - Durvalumab - DE3_Structure_SpecificGravity,imfinzi specific gravity
US - Durvalumab - DE3_Structure_SpecificGravity,imfinzi sp grav
US - Acalabrutinib - CP2_MOA,What is the mechanism of action of Calquence?
US - Acalabrutinib - CP2_MOA,Acalabrutinib MOA
US - Acalabrutinib - CP2_MOA,Calquence MOA
US - Capivasertib - IN1_INDICATIONSCLINICALUSE,Capi approved indication
US - Capivasertib - IN1_INDICATIONSCLINICALUSE,Capivasertib approved indication
US - Capivasertib - IN1_INDICATIONSCLINICALUSE,TRUQAP approved indication
US - Capivasertib - IN1_INDICATIONSCLINICALUSE,Capivasertib with fulvestrant
US - Capivasertib - IN1_INDICATIONSCLINICALUSE,info about capivasertib with fulvestrant
US - Capivasertib - IN1_INDICATIONSCLINICALUSE,can I get details about capivasertib with fulvestrant
US - Capivasertib - IN1_INDICATIONSCLINICALUSE,I want to know about capivasertib with fulvestrant
US - Durvalumab - AD3_Error_Extravasation,Imfinzi® (durvalumab)-Reports of infiltration or extravasation
US - Durvalumab - AD3_Error_Extravasation,durvalumab extravasation
US - Camizestrant - DE1_Description,Tell me about camizestrant
US - Camizestrant - RE4_PublishedData_SERENA1_Safety,What is the safety profile of camizestrant in SERENA-1
US - Camizestrant - RE4_PublishedData_SERENA1_Safety,What are the most common AEs in SERENA-1
US - Acalabrutinib - CO1_Cost,What's the cost of Calquence?
US - Acalabrutinib - CO1_Cost,Acalabrutinib cost
US - Acalabrutinib - SA4_AdverseEvents_ID_Fungal,fungal infections with acalabrutinib
US - Acalabrutinib - SA4_AdverseEvents_ID_Fungal,aspergillosis with calquence
US - Acalabrutinib - SA4_AdverseEvents_ID_Fungal,mycotic infections with acalabrutinib
US - Acalabrutinib - SA4_AdverseEvents_ID_Fungal,candidiasis with calquence
US - Acalabrutinib - SA4_AdverseEvents_ID_Fungal,candida infection and acalabrutinib
US - Osimertinib - SA4_AdverseEvents_Respiratory_ILD,Pneumonitis / ILD
US - Osimertinib - SA4_AdverseEvents_Respiratory_ILD,ILD/pneumonitis in metastatic NSCLC
US - Acalabrutinib - IN3_Heme_CLL,Use of acalabrutinib in CLL?
US - Acalabrutinib - IN3_Heme_CLL,Calquence in treament naive CLL
US - Acalabrutinib - IN3_Heme_CLL,Calquence in relapsed/refractory CLL
US - Acalabrutinib - IN3_Heme_CLL,Acala/acalabrutinib/Calquence in TN CLL
US - Acalabrutinib - IN3_Heme_CLL,Acala/acalabrutinib/Calquence in RR CLL
US - Acalabrutinib - IN3_Heme_CLL,Can acalabrutinib be used for patients with CLL?
US - Olaparib - CO1_Cost,What's the cost of Lynparza?
US - Olaparib - CO1_Cost,Price of Lynparza
US - Olaparib - CO1_Cost,Lynparza price
US - Olaparib - CO1_Cost,Lynparza cost
US - Olaparib - CO1_Cost,What's the cost of Olaparib?
US - Olaparib - CO1_Cost,Price of Olaparib
US - Olaparib - CO1_Cost,Olaparib price
US - Olaparib - CO1_Cost,Olaparib cost
US - Acalabrutinib - SA4_AdverseEvents_Resp_Pneumonitis,interstitial lung disease with acalabrutinib
US - Acalabrutinib - SA4_AdverseEvents_Resp_Pneumonitis,pneumonitis and acalabrutinib
US - Acalabrutinib - SA4_AdverseEvents_Resp_Pneumonitis,ILD and calquence
US - Acalabrutinib - SA4_AdverseEvents_Resp_Pneumonitis,ILD and acalabrutinib
US - Acalabrutinib - SA4_AdverseEvents_Resp_Pneumonitis,pneumonitis with calquence
US - Acalabrutinib - SA4_AdverseEvents_Resp_Pneumonitis,What is the incidence of pneumonitis/interstitial lung disease (ILD) with acalabrutinib.?
US - Acalabrutinib - SA4_AdverseEvents_Resp_Pneumonitis,interstitial lung disease with calquence
US - Olaparib - SS4_ContactPharmaGroup_ESMOGynCongress_ESMOGYN 2023,ESMO GYN 2023 Lynparza
US - Osimertinib - IN2_Condition,Can I use Tagrisso in earlier disease stages?
US - Osimertinib - IN2_Condition,Can osi/ osimertinib be used for earier disease stages of NSCLC? 
US - Osimertinib - IN2_Condition,tagrisso in resectable NSCLC
US - Osimertinib - IN2_Condition,tagrisso resectable NSCLC
US - Osimertinib - IN3_PlaceInTherapy_SecondLineTherapy,What can I treat with when my patient with T790M progresses after second-line Osimertinib
US - Osimertinib - IN3_PlaceInTherapy_SecondLineTherapy,progression on second-line osimertinib
US - Osimertinib - IN3_PlaceInTherapy_SecondLineTherapy,Tagrisso T790M progression
US - Osimertinib - IN3_PlaceInTherapy_SecondLineTherapy,osimertinib after T790M progression
US - Olaparib - RE4_PublishedData_OlympiA_Safety,What are the safety results from the Olympia trial?
US - Olaparib - RE4_PublishedData_OlympiA_Safety,OlympiA safety results
US - Olaparib - RE4_PublishedData_OlympiA_Safety,OlympiA safety
US - Olaparib - RE4_PublishedData_OlympiA_Safety,Safety in OlympiA
US - Olaparib - RE4_PublishedData_OlympiA_Safety,Safety of OlympiA
US - Olaparib - ST3_ExtraordinaryCircumstances_Repackaged,Is there any stability data on Lynparza after it's removed from the original bottle and repackaged?
US - Olaparib - ST3_ExtraordinaryCircumstances_Repackaged,Can Lynparza/olaparib be stored in prescription bottle?
US - Olaparib - ST3_ExtraordinaryCircumstances_Repackaged,Lynparza/olaparib stored in prescription bottleG
US - Olaparib - ST3_ExtraordinaryCircumstances_Repackaged,Lynparza/olaparib repackaging
US - Osimertinib - DO3_Variations_LeptomeningealMets,Is 160 mg better than 80 mg for LM?
US - Osimertinib - DO3_Variations_LeptomeningealMets,osimertinib dose for leptomeningeal disease
US - Osimertinib - DO3_Variations_LeptomeningealMets,leptomeningeal dose 
US - Camizestrant - RE3_PublishedData_SERENA4,What is the trial design for SERENA-4? m
US - T-dxd - RE3_OngoingStudies_Gastric,ENHERTU Ongoing gastric trials
US - Acalabrutinib - IN3_Subgroup_Geriatrics,Is Calquence indicated in geriatrics patients?
US - Acalabrutinib - IN3_Subgroup_Geriatrics,Calquence in geriatric patients
US - Acalabrutinib - IN3_Subgroup_Geriatrics,Calquence in elderly patients
US - Acalabrutinib - IN3_Subgroup_Geriatrics,Acalabrutinib in Old patients
US - Osimertinib - RE4_OngoingStudies_AURA3_Safety,AURA3 safety
US - Osimertinib - RE4_OngoingStudies_AURA3_Safety,AURA3 Study safety
US - Osimertinib - RE4_OngoingStudies_AURA3_Safety,AURA3 Trial safety
US - Osimertinib - RE4_OngoingStudies_AURA3_Safety,AURA 3 Trial/Study safety
US - Osimertinib - RE4_OngoingStudies_AURA3_Safety,AURA 3 safety
US - Olaparib - RE3_PublishedData_OreO,Can you provide information on the OREO study?
US - Olaparib - RE3_PublishedData_OreO,Can you provide information on the re-treatment with olaparib in ovarian cancer?
US - Olaparib - RE3_PublishedData_OreO,Can you provide information on the OREO presentation at ESMO or other congresses?
US - Olaparib - RE3_PublishedData_OreO,OReO study results
US - Olaparib - RE3_PublishedData_OreO,OReO results
US - Olaparib - RE3_PublishedData_OreO,OReO data
US - Osimertinib - AV1_Availability,How can I order osimertinib?
US - Osimertinib - AV1_Availability,distributor; distribution
US - Osimertinib - AV1_Availability,What is the availability of TAGRISSO?
US - T-DXd - CO3_Support_FinancialAssistance,Is there financial support for Enhertu
US - Durvalumab - RE4_PublishedData_MEDIOLA_Safety,Safety of MEDIOLA
US - Durvalumab - RE4_PublishedData_MEDIOLA_Safety,Safety of Imfinzi and Lynparza in ovarian cancer
US - Durvalumab - RE4_PublishedData_MEDIOLA_Safety,MEDIOLA Safety
US - Durvalumab - RE4_PublishedData_MEDIOLA_Safety,Safety of durvalumab and olaparib in ovarian cancer
US - Durvalumab - RE4_PublishedData_MEDIOLA_Safety,MEDIOLA safety results
US - Durvalumab - RE4_PublishedData_MEDIOLA_Safety,Safety of Imfinzi and Lynparza
US - Durvalumab - RE4_PublishedData_MEDIOLA_Safety,Safety of Lynparza and Imfinzi ovarian cancer
US - Durvalumab - IN3_Resp_NSCLC,Trials in NSCLC
US - Durvalumab - IN3_Resp_NSCLC,imfinzi nsclc
US - Olaparib - DI3_Food_Grapefruit,Can Lynparza be administered with grapefruit or Seville oranges?
US - Olaparib - DI3_Food_Grapefruit,Lynparza/olaparib with grapefruit
US - Olaparib - DI3_Food_Grapefruit,Lynparza/olaparib with grapefruit or seville oranges
US - Olaparib - DI3_Food_Grapefruit,Drinking grapefruit juice with lynparza/olaparib
US - Olaparib - DI3_Food_Grapefruit,Eating grapefruit with Lynparza/olaparib
US - Olaparib - DI3_Food_Grapefruit,Eating Seville oranges with Lyparza/olaparib
US - Durvalumab - RE3_OngoingStudies_PAC6,Details on study design of PACIFIC 6
US - Durvalumab - RE3_OngoingStudies_PAC6,Purpose of the PAC6 study
US - Durvalumab - RE3_OngoingStudies_PAC6,imfinzi pac6
US - Durvalumab - RE3_OngoingStudies_PAC6,imfinzi pacific 6
US - Olaparib - IN1_IndicationsClinicalUse,What is Lynparza indicated for?
US - Olaparib - IN1_IndicationsClinicalUse,Lynparza/olaparib indications
US - Olaparib - IN1_IndicationsClinicalUse,Lynparza/olaparib clinical indications
US - Olaparib - IN1_IndicationsClinicalUse,Lynparza clinical studies
US - Olaparib - IN1_IndicationsClinicalUse,Lynparza studies
US - Olaparib - IN1_IndicationsClinicalUse,Lynparza clinical trials first-line maintenance
US - Olaparib - IN1_IndicationsClinicalUse,Lynparza clinical trials ovarian cancer
US - Olaparib - IN1_IndicationsClinicalUse,PROpel PI
US - Olaparib - IN1_IndicationsClinicalUse,PROpel Prescibing information
US - Olaparib - IN1_IndicationsClinicalUse,PROpel indication
US - Olaparib - IN1_IndicationsClinicalUse,PROpel approval
US - Durvalumab - RE4_OngoingStudies_POSEIDON_Biomarkers,Biomarker subgroup analysis imfinzi
US - Durvalumab - RE4_OngoingStudies_POSEIDON_Biomarkers,imfinzi Biomarker subgroup analysis
US - Durvalumab - RE4_OngoingStudies_POSEIDON_Biomarkers,Imfinzi STK11m
US - Durvalumab - RE4_OngoingStudies_POSEIDON_Biomarkers,Imfinzi KRAS
US - Durvalumab - RE4_OngoingStudies_POSEIDON_Biomarkers,Imfinzi KRASm
US - Durvalumab - RE4_OngoingStudies_POSEIDON_Biomarkers,Imfinzi KEAP1
US - Durvalumab - RE4_OngoingStudies_POSEIDON_Biomarkers,Imfinzi KEAP1m
US - Durvalumab - RE4_OngoingStudies_POSEIDON_Biomarkers,Imfinzi STK11
US - Durvalumab - IN3_Hepatic_HCC,Use in HCC (hepatocellular carcinoma)
US - Durvalumab - IN3_Hepatic_HCC,Imfinzi data in HCC patients
US - Durvalumab - IN3_Hepatic_HCC,Imfinzi HCC trials
US - T-dxd - RE3_PublishedData_DESTINYLung,Enhertu NSCLC
US - T-dxd - RE3_PublishedData_DESTINYLung,Enhertu lung cancer
US - T-dxd - RE3_PublishedData_DESTINYLung,Enhertu lung
US - T-dxd - RE3_PublishedData_DESTINYLung,T-DXd NSCLC
US - T-dxd - RE3_PublishedData_DESTINYLung,T-DXd lung cancer
US - T-dxd - RE3_PublishedData_DESTINYLung,T-DXd lung
US - T-dxd - RE3_PublishedData_DESTINYLung,Destiny lung cancer
US - Olaparib - ESMO BREAST CONGRESS 2023,ESMO Breast 23 Lynparza
US - Olaparib - ESMO BREAST CONGRESS 2023,ESMOBC 23 congress Lynparza
US - Olaparib - ESMO BREAST CONGRESS 2023,ESMO BC 2023 information Lynparza
US - Olaparib - ESMO BREAST CONGRESS 2023,Lynparza ESMO-BC 23
US - Olaparib - ESMO BREAST CONGRESS 2023,2023 ESMO BC Lynparza
US - Olaparib - ESMO BREAST CONGRESS 2023,ESMOBreast23 poster Lynparza
US - Olaparib - ESMO BREAST CONGRESS 2023,posters from ESMO Breast 2023 Lynparza
US - Olaparib - TE3_PreDrugUse_TissueTesting,Do you have any data on concordance between tumor tissue testing and plasma ctDNA testing? Lynparza
US - Olaparib - TE3_PreDrugUse_TissueTesting,Concordance between tumor tissue testing and plasma ctDNA testing Lynparza
US - Olaparib - TE3_PreDrugUse_TissueTesting,mCRPC tissue testing Lynparza
US - Olaparib - TE3_PreDrugUse_TissueTesting,concordance data prostate cancer Lynparza
US - Olaparib - IN3_Reproduction_Lactation,Is Lynparza indicated in lactating patients?  
US - Olaparib - IN3_Reproduction_Lactation,Is Lynparza secreted in breast milk?
US - Olaparib - IN3_Reproduction_Lactation,Is Lynparza indicated for use during breastfeeding?  
US - Olaparib - IN3_Reproduction_Lactation,Lynparza and breastfeeding
US - Olaparib - IN3_Reproduction_Lactation,Breastfeeding during Lynparza
US - Olaparib - IN3_Reproduction_Lactation,Is Olaparib indicated in lactating patients?  
US - Olaparib - IN3_Reproduction_Lactation,Is Olaparib secreted in breast milk?
US - Olaparib - IN3_Reproduction_Lactation,Is Olaparib indicated for use during breastfeeding?  
US - Olaparib - IN3_Reproduction_Lactation,Olaparib and breastfeeding
US - Olaparib - IN3_Reproduction_Lactation,Breastfeeding during Olaparib
US - Olaparib - RE4_PublishedData_PROfound_TissueTesting,What is the tissue testing success rate in Profound?
US - Olaparib - RE4_PublishedData_PROfound_TissueTesting,tissue testing success in prostate lynparza
US - Olaparib - RE4_PublishedData_PROfound_TissueTesting,What is the tissue testing success rate in PROpel?
US - Olaparib - RE4_PublishedData_PROfound_TissueTesting,success rate in tissue testing for profound
US - Olaparib - RE4_PublishedData_PROfound_TissueTesting,success rate in tissue testing for PROpel
US - T-dxd - RE3_PublishedData_DESTINYCRC01,What are the results of DESTINY-CRC01?
US - T-dxd - RE3_PublishedData_DESTINYCRC01,ENHERTU CRC01
